Город,Численность_населения_города,Административный_центр,Город_миллионник,Крупнейший_город,Крупный_город,Большой_город,Средний_город
Малгобек,31076.0,0,0,0,0,0,0
Малмыж,8265.0,0,0,0,0,0,0
Малоархангельск,3614.0,0,0,0,0,0,0
Малоярославец,30401.0,0,0,0,0,0,0
Мамадыш,14432.0,0,0,0,0,0,0
Мамоново,7757.0,0,0,0,0,0,0
Мантурово,17479.0,0,0,0,0,0,0
Мариинск,40522.0,0,0,0,0,0,0
Мариинский Посад,9089.0,0,0,0,0,0,0
Маркс,31535.0,0,0,0,0,0,0
Махачкала,577990.0,1,0,1,0,0,0
Мглин,7916.0,0,0,0,0,0,0
Мегион,49471.0,0,0,0,0,0,0
Медвежьегорск,15536.0,0,0,0,0,0,0
Медногорск,27290.0,0,0,0,0,0,0
Медынь,8298.0,0,0,0,0,0,0
Межгорье,17353.0,0,0,0,0,0,0
Междуреченск,101995.0,0,0,0,0,1,0
Мезень,3599.0,0,0,0,0,0,0
Меленки,15208.0,0,0,0,0,0,0
Мелеуз,61408.0,0,0,0,0,0,1
Менделеевск,22075.0,0,0,0,0,0,0
Мензелинск,16474.0,0,0,0,0,0,0
Мещовск,4101.0,0,0,0,0,0,0
Миасс,151812.0,0,0,0,0,1,0
Микунь,10732.0,0,0,0,0,0,0
Миллерово,36493.0,0,0,0,0,0,0
Минеральные Воды,76715.0,0,0,0,0,0,1
Минусинск,71171.0,0,0,0,0,0,1
Миньяр,10195.0,0,0,0,0,0,0
Мирный,33719.0,0,0,0,0,0,0
Михайлов,11783.0,0,0,0,0,0,0
Михайловка,59153.0,0,0,0,0,0,1
Михайловск,40436.0,0,0,0,0,0,1
Мичуринск,98758.0,0,0,0,0,0,1
Могоча,13228.0,0,0,0,0,0,0
Можайск,31388.0,0,0,0,0,0,0
Можга,47959.0,0,0,0,0,0,0
Моздок,38748.0,0,0,0,0,0,0
Мончегорск,45381.0,0,0,0,0,0,0
Морозовск,27644.0,0,0,0,0,0,0
Моршанск,41550.0,0,0,0,0,0,0
Мосальск,4285.0,0,0,0,0,0,0
Москва,11514330.0,1,1,0,0,0,0
Московский,17363.0,0,0,0,0,0,0
Муравленко,33401.0,0,0,0,0,0,0
Мураши,6752.0,0,0,0,0,0,0
Мурманск,307664.0,1,0,0,1,0,0
Муром,116078.0,0,0,0,0,1,0
Мценск,43216.0,0,0,0,0,0,0
Мыски,43029.0,0,0,0,0,0,0
Мытищи,173341.0,0,0,0,0,1,0
Мышкин,5932.0,0,0,0,0,0,0
Набережные Челны,513242.0,0,0,1,0,0,0
Навашино,16413.0,0,0,0,0,0,0
Наволоки,10207.0,0,0,0,0,0,0
Надым,46550.0,0,0,0,0,0,0
Назарово,52829.0,0,0,0,0,0,1
Назрань,93357.0,0,0,0,0,0,1
Называевск,11614.0,0,0,0,0,0,0
Нальчик,240095.0,1,0,0,0,1,0
Нариманов,11386.0,0,0,0,0,0,0
Наро-Фоминск,64640.0,0,0,0,0,0,1
Нарткала,31679.0,0,0,0,0,0,0
Нарьян-Мар,21296.0,1,0,0,0,0,0
Находка,159695.0,0,0,0,0,1,0
Невель,16324.0,0,0,0,0,0,0
Невельск,11667.0,0,0,0,0,0,0
Невинномысск,118351.0,0,0,0,0,1,0
Невьянск,24555.0,0,0,0,0,0,0
Нелидово,22886.0,0,0,0,0,0,0
Неман,11794.0,0,0,0,0,0,0
Нерехта,22817.0,0,0,0,0,0,0
Нерчинск,14976.0,0,0,0,0,0,0
Нерюнгри,61746.0,0,0,0,0,0,1
Нестеров,4584.0,0,0,0,0,0,0
Нефтегорск,19256.0,0,0,0,0,0,0
Нефтекамск,121757.0,0,0,0,0,1,0
Нефтекумск,27700.0,0,0,0,0,0,0
Нефтеюганск,123276.0,0,0,0,0,1,0
Нея,9827.0,0,0,0,0,0,0
Нижневартовск,251860.0,0,0,0,1,0,0
Нижнекамск,234108.0,0,0,0,0,1,0
Нижнеудинск,37056.0,0,0,0,0,0,0
Нижние Серги,10347.0,0,0,0,0,0,0
Нижний Ломов,22725.0,0,0,0,0,0,0
Нижний Новгород,1250615.0,1,1,0,0,0,0
Нижний Тагил,361883.0,0,0,0,1,0,0
Нижняя Салда,17610.0,0,0,0,0,0,0
Нижняя Тура,21997.0,0,0,0,0,0,0
Николаевск,15081.0,0,0,0,0,0,0
Николаевск-на-Амуре,22773.0,0,0,0,0,0,0
Никольск,15495.0,0,0,0,0,0,0
Никольское,19345.0,0,0,0,0,0,0
Новая Ладога,8839.0,0,0,0,0,0,0
Новая Ляля,12731.0,0,0,0,0,0,0
Новоалександровск,26759.0,0,0,0,0,0,0
Новоалтайск,70438.0,0,0,0,0,0,1
Новоаннинский,17911.0,0,0,0,0,0,0
Нововоронеж,32635.0,0,0,0,0,0,0
Новодвинск,40612.0,0,0,0,0,0,0
Новозыбков,40552.0,0,0,0,0,0,0
Новокубанск,34847.0,0,0,0,0,0,0
Новокузнецк,547885.0,0,0,1,0,0,0
Новокуйбышевск,108449.0,0,0,0,0,1,0
Новомичуринск,19309.0,0,0,0,0,0,0
Новомосковск,131227.0,0,0,0,0,1,0
Новопавловск,26556.0,0,0,0,0,0,0
Новоржев,3695.0,0,0,0,0,0,0
Новороссийск,241788.0,0,0,0,1,0,0
Новосибирск,1473737.0,1,1,0,0,0,0
Новосиль,3661.0,0,0,0,0,0,0
Новосокольники,8119.0,0,0,0,0,0,0
Новотроицк,98184.0,0,0,0,0,0,1
Новоузенск,17015.0,0,0,0,0,0,0
Новоульяновск,16032.0,0,0,0,0,0,0
Новоуральск,85519.0,0,0,0,0,0,1
Новохопёрск,6849.0,0,0,0,0,0,0
Новочебоксарск,124113.0,0,0,0,0,1,0
Новочеркасск,169039.0,0,0,0,0,1,0
Новошахтинск,111087.0,0,0,0,0,1,0
Новый Оскол,19530.0,0,0,0,0,0,0
Новый Уренгой,104144.0,0,0,0,0,1,0
Ногинск,99762.0,0,0,0,0,0,1
Нолинск,9556.0,0,0,0,0,0,0
Норильск,175301.0,0,0,0,0,1,0
Ноябрьск,110572.0,0,0,0,0,1,0
Нурлат,32600.0,0,0,0,0,0,0
Нытва,19042.0,0,0,0,0,0,0
Нюрба,10156.0,0,0,0,0,0,0
Нягань,54903.0,0,0,0,0,0,1
Нязепетровск,12452.0,0,0,0,0,0,0
Няндома,22354.0,0,0,0,0,0,0
Облучье,9379.0,0,0,0,0,0,0
Обнинск,104798.0,0,0,0,0,1,0
Обоянь,13562.0,0,0,0,0,0,0
Обь,25383.0,0,0,0,0,0,0
Одинцово,139021.0,0,0,0,0,1,0
Ожерелье,10444.0,0,0,0,0,0,0
Озёрск,43504.0,0,0,0,0,0,1
Озёры,25788.0,0,0,0,0,0,0
Октябрьск,27244.0,0,0,0,0,0,0
Октябрьский,109379.0,0,0,0,0,1,0
Окуловка,12464.0,0,0,0,0,0,0
Оленегорск,23079.0,0,0,0,0,0,0
Олонец,9060.0,0,0,0,0,0,0
Олёкминск,9487.0,0,0,0,0,0,0
Омск,1153971.0,1,1,0,0,0,0
Омутнинск,23618.0,0,0,0,0,0,0
Онега,21359.0,0,0,0,0,0,0
Опочка,11601.0,0,0,0,0,0,0
Оренбург,546987.0,1,0,1,0,0,0
Орехово-Зуево,120620.0,0,0,0,0,1,0
Орлов,6959.0,0,0,0,0,0,0
Орск,239752.0,0,0,0,0,1,0
Орёл,317854.0,1,0,0,1,0,0
Оса,21191.0,0,0,0,0,0,0
Осинники,45997.0,0,0,0,0,0,0
Осташков,18073.0,0,0,0,0,0,0
Остров,21670.0,0,0,0,0,0,0
Островной,2177.0,0,0,0,0,0,0
Острогожск,33842.0,0,0,0,0,0,0
Отрадное,23874.0,0,0,0,0,0,0
Отрадный,48359.0,0,0,0,0,0,0
Оха,23007.0,0,0,0,0,0,0
Оханск,7249.0,0,0,0,0,0,0
Очёр,14239.0,0,0,0,0,0,0
Павлово,60699.0,0,0,0,0,0,1
Павловск,20592.0,0,0,0,0,0,0
Павловский Посад,63771.0,0,0,0,0,0,1
Палласовка,15984.0,0,0,0,0,0,0
Партизанск,38648.0,0,0,0,0,0,0
Певек,4161.0,0,0,0,0,0,0
Пенза,517137.0,1,0,1,0,0,0
Первомайск,14567.0,0,0,0,0,0,0
Первоуральск,124555.0,0,0,0,0,1,0
Перевоз,9201.0,0,0,0,0,0,0
Пересвет,14142.0,0,0,0,0,0,0
Переславль-Залесский,41923.0,0,0,0,0,0,0
Пермь,991530.0,1,1,0,0,0,0
Пестово,15911.0,0,0,0,0,0,0
Петергоф,73154.0,0,0,0,0,0,1
Петров Вал,13264.0,0,0,0,0,0,0
Петровск,31158.0,0,0,0,0,0,0
Петровск-Забайкальский,18555.0,0,0,0,0,0,0
Петрозаводск,263540.0,1,0,0,1,0,0
Петропавловск-Камчатский,179526.0,1,0,0,0,1,0
Петухово,11291.0,0,0,0,0,0,0
Петушки,15167.0,0,0,0,0,0,0
Печора,43458.0,0,0,0,0,0,0
Печоры,11195.0,0,0,0,0,0,0
Пикалёво,21567.0,0,0,0,0,0,0
Пионерский,11017.0,0,0,0,0,0,0
Питкяранта,11484.0,0,0,0,0,0,0
Плавск,16248.0,0,0,0,0,0,0
Пласт,17344.0,0,0,0,0,0,0
Плёс,2341.0,0,0,0,0,0,0
Поворино,17692.0,0,0,0,0,0,0
Подольск,187956.0,0,0,0,1,0,0
Подпорожье,18729.0,0,0,0,0,0,0
Покачи,17053.0,0,0,0,0,0,0
Покров,17762.0,0,0,0,0,0,0
Покровск,9495.0,0,0,0,0,0,0
Полевской,64191.0,0,0,0,0,0,1
Полесск,7580.0,0,0,0,0,0,0
Полысаево,27624.0,0,0,0,0,0,0
Полярные Зори,15106.0,0,0,0,0,0,0
Полярный,17304.0,0,0,0,0,0,0
Поронайск,16099.0,0,0,0,0,0,0
Порхов,10608.0,0,0,0,0,0,0
Похвистнево,28181.0,0,0,0,0,0,0
Почеп,17933.0,0,0,0,0,0,0
Починок,8776.0,0,0,0,0,0,0
Пошехонье,6085.0,0,0,0,0,0,0
Правдинск,4323.0,0,0,0,0,0,0
Приволжск,16749.0,0,0,0,0,0,0
Приморск,4039.0,0,0,0,0,0,0
Приморско-Ахтарск,32253.0,0,0,0,0,0,0
Приозерск,18929.0,0,0,0,0,0,0
Прокопьевск,210150.0,0,0,0,0,1,0
Пролетарск,20267.0,0,0,0,0,0,0
Протвино,37308.0,0,0,0,0,0,0
Прохладный,59595.0,0,0,0,0,0,1
Псков,203281.0,1,0,0,0,1,0
Пугачёв,41705.0,0,0,0,0,0,0
Пудож,9698.0,0,0,0,0,0,0
Пустошка,4619.0,0,0,0,0,0,0
Пучеж,8583.0,0,0,0,0,0,0
Пушкин,92721.0,0,0,0,0,0,1
Пушкино,102840.0,0,0,0,0,1,0
Пущино,20263.0,0,0,0,0,0,0
Пыталово,5826.0,0,0,0,0,0,0
Пыть-Ях,41453.0,0,0,0,0,0,0
Пятигорск,142397.0,0,0,0,0,1,0
Радужный,30803.0,0,0,0,0,0,0
Райчихинск,20499.0,0,0,0,0,0,0
Раменское,96355.0,0,0,0,0,0,1
Рассказово,45484.0,0,0,0,0,0,0
Ревда,61890.0,0,0,0,0,0,1
Реж,38213.0,0,0,0,0,0,0
Реутов,87195.0,0,0,0,0,0,1
Ржев,62026.0,0,0,0,0,0,1
Родники,26318.0,0,0,0,0,0,0
Рославль,54898.0,0,0,0,0,0,1
Россошь,62865.0,0,0,0,0,0,1
Ростов,31791.0,0,0,0,0,0,0
Ростов-на-Дону,1089851.0,1,1,0,0,0,0
Рошаль,21265.0,0,0,0,0,0,0
Ртищево,41295.0,0,0,0,0,0,0
Рубцовск,147008.0,0,0,0,0,1,0
Рудня,10029.0,0,0,0,0,0,0
Руза,13495.0,0,0,0,0,0,0
Рузаевка,47529.0,0,0,0,0,0,0
Рыбинск,200771.0,0,0,0,0,1,0
Рыбное,18378.0,0,0,0,0,0,0
Рыльск,15667.0,0,0,0,0,0,0
Ряжск,21676.0,0,0,0,0,0,0
Рязань,525062.0,1,0,1,0,0,0
Салават,156085.0,0,0,0,0,1,0
Салаир,8263.0,0,0,0,0,0,0
Салехард,42494.0,1,0,0,0,0,0
Сальск,61312.0,0,0,0,0,0,1
Самара,1164896.0,1,1,0,0,0,0
Санкт-Петербург,4848742.0,1,1,0,0,0,0
Саранск,297425.0,1,0,0,1,0,0
Сарапул,101390.0,0,0,0,0,1,0
Саратов,837831.0,1,0,1,0,0,0
Саров,92073.0,0,0,0,0,0,1
Сасово,28117.0,0,0,0,0,0,0
Сатка,45465.0,0,0,0,0,0,0
Сафоново,46116.0,0,0,0,0,0,0
Саяногорск,49889.0,0,0,0,0,0,0
Саянск,40786.0,0,0,0,0,0,0
Светлогорск,10775.0,0,0,0,0,0,0
Светлоград,38520.0,0,0,0,0,0,0
Светлый,21380.0,0,0,0,0,0,0
Светогорск,15973.0,0,0,0,0,0,0
Свирск,13649.0,0,0,0,0,0,0
Свободный,58594.0,0,0,0,0,0,1
Себеж,6375.0,0,0,0,0,0,0
Северо-Курильск,2535.0,0,0,0,0,0,0
Северобайкальск,24935.0,0,0,0,0,0,0
Северодвинск,192265.0,0,0,0,0,1,0
Североморск,50076.0,0,0,0,0,0,1
Североуральск,29279.0,0,0,0,0,0,0
Северск,108466.0,0,0,0,0,1,0
Севск,7282.0,0,0,0,0,0,0
Сегежа,29660.0,0,0,0,0,0,0
Сельцо,17933.0,0,0,0,0,0,0
Семикаракорск,23884.0,0,0,0,0,0,0
Семилуки,26025.0,0,0,0,0,0,0
Семёнов,24472.0,0,0,0,0,0,0
Сенгилей,6959.0,0,0,0,0,0,0
Серафимович,9368.0,0,0,0,0,0,0
Сергач,21387.0,0,0,0,0,0,0
Сергиев Посад,110878.0,0,0,0,0,1,0
Сердобск,35387.0,0,0,0,0,0,0
Серов,99381.0,0,0,0,0,0,1
Серпухов,126496.0,0,0,0,0,1,0
Сертолово,47854.0,0,0,0,0,0,0
Сестрорецк,36680.0,0,0,0,0,0,0
Сибай,62732.0,0,0,0,0,0,1
Сим,14465.0,0,0,0,0,0,0
Сковородино,9561.0,0,0,0,0,0,0
Скопин,30374.0,0,0,0,0,0,0
Славгород,32390.0,0,0,0,0,0,0
Славск,4614.0,0,0,0,0,0,0
Славянск-на-Кубани,63768.0,0,0,0,0,0,1
Сланцы,33587.0,0,0,0,0,0,0
Слободской,33983.0,0,0,0,0,0,0
Слюдянка,18542.0,0,0,0,0,0,0
Смоленск,326863.0,1,0,0,1,0,0
Снежинск,48896.0,0,0,0,0,0,0
Снежногорск,12698.0,0,0,0,0,0,0
Собинка,19482.0,0,0,0,0,0,0
Советск,21946.0,0,0,0,0,0,0
Советская Гавань,27712.0,0,0,0,0,0,0
Советский,26434.0,0,0,0,0,0,0
Сокол,38454.0,0,0,0,0,0,0
Солигалич,6438.0,0,0,0,0,0,0
Соликамск,97239.0,0,0,0,0,0,1
Солнечногорск,52996.0,0,0,0,0,0,1
Соль-Илецк,28369.0,0,0,0,0,0,0
Сольвычегодск,2460.0,0,0,0,0,0,0
Сольцы,10086.0,0,0,0,0,0,0
Сорочинск,29260.0,0,0,0,0,0,0
Сорск,12140.0,0,0,0,0,0,0
Сортавала,19215.0,0,0,0,0,0,0
Сосенский,12394.0,0,0,0,0,0,0
Сосновка,11960.0,0,0,0,0,0,0
Сосновоборск,33090.0,0,0,0,0,0,0
Сосновый Бор,65901.0,0,0,0,0,0,1
Сосногорск,27809.0,0,0,0,0,0,0
Сочи,343285.0,0,0,0,1,0,0
Спас-Деменск,4904.0,0,0,0,0,0,0
Спас-Клепики,5917.0,0,0,0,0,0,0
Спасск,7442.0,0,0,0,0,0,0
Спасск-Дальний,44166.0,0,0,0,0,0,0
Спасск-Рязанский,7745.0,0,0,0,0,0,0
Среднеколымск,3525.0,0,0,0,0,0,0
Среднеуральск,20445.0,0,0,0,0,0,0
Сретенск,6850.0,0,0,0,0,0,0
Ставрополь,398266.0,1,0,0,1,0,0
Старая Купавна,21859.0,0,0,0,0,0,0
Старая Русса,31809.0,0,0,0,0,0,0
Старица,8610.0,0,0,0,0,0,0
Стародуб,19010.0,0,0,0,0,0,0
Старый Оскол,221163.0,0,0,0,0,1,0
Стерлитамак,273432.0,0,0,0,1,0,0
Стрежевой,42216.0,0,0,0,0,0,0
Строитель,23933.0,0,0,0,0,0,0
Струнино,14372.0,0,0,0,0,0,0
Ступино,66942.0,0,0,0,0,0,1
Суворов,18975.0,0,0,0,0,0,0
Суджа,6036.0,0,0,0,0,0,0
Судогда,11848.0,0,0,0,0,0,0
Суздаль,10535.0,0,0,0,0,0,0
Суоярви,9763.0,0,0,0,0,0,0
Сураж,11640.0,0,0,0,0,0,0
Сургут,306703.0,0,0,0,1,0,0
Суровикино,20527.0,0,0,0,0,0,0
Сурск,7032.0,0,0,0,0,0,0
Сусуман,5865.0,0,0,0,0,0,0
Сухиничи,16295.0,0,0,0,0,0,0
Сухой Лог,34547.0,0,0,0,0,0,0
Сызрань,178773.0,0,0,0,0,1,0
Сыктывкар,235006.0,1,0,0,0,1,0
Сысерть,20485.0,0,0,0,0,0,0
Сычёвка,8111.0,0,0,0,0,0,0
Сясьстрой,13747.0,0,0,0,0,0,0
Тавда,35415.0,0,0,0,0,0,0
Таганрог,257692.0,0,0,0,0,1,0
Тайга,25330.0,0,0,0,0,0,0
Тайшет,35481.0,0,0,0,0,0,0
Талдом,13819.0,0,0,0,0,0,0
Талица,16220.0,0,0,0,0,0,0
Тамбов,280457.0,1,0,0,1,0,0
Тара,27322.0,0,0,0,0,0,0
Тарко-Сале,20372.0,0,0,0,0,0,0
Таруса,9656.0,0,0,0,0,0,0
Татарск,24217.0,0,0,0,0,0,0
Таштагол,23114.0,0,0,0,0,0,0
Тверь,403726.0,1,0,0,1,0,0
Теберда,9097.0,0,0,0,0,0,0
Тейково,34993.0,0,0,0,0,0,0
Темников,7247.0,0,0,0,0,0,0
Темрюк,38014.0,0,0,0,0,0,0
Терек,19170.0,0,0,0,0,0,0
Тетюши,11596.0,0,0,0,0,0,0
Тимашёвск,53921.0,0,0,0,0,0,1
Тихвин,58843.0,0,0,0,0,0,1
Тихорецк,61825.0,0,0,0,0,0,1
Тобольск,99698.0,0,0,0,0,0,1
Тогучин,21900.0,0,0,0,0,0,0
Тольятти,719514.0,0,0,1,0,0,0
Томари,4537.0,0,0,0,0,0,0
Томмот,8054.0,0,0,0,0,0,0
Томск,522940.0,1,0,1,0,0,0
Топки,28642.0,0,0,0,0,0,0
Торжок,47702.0,0,0,0,0,0,0
Торопец,13018.0,0,0,0,0,0,0
Тосно,39127.0,0,0,0,0,0,0
Тотьма,9784.0,0,0,0,0,0,0
Троицк,59255.5,0,0,0,0,0,1
Трубчевск,15014.0,0,0,0,0,0,0
Трёхгорный,33678.0,0,0,0,0,0,0
Туапсе,63233.0,0,0,0,0,0,1
Туймазы,66849.0,0,0,0,0,0,1
Тула,501129.0,1,0,0,1,0,0
Тулун,44603.0,0,0,0,0,0,0
Туран,4988.0,0,0,0,0,0,0
Туринск,17923.0,0,0,0,0,0,0
Тутаев,41001.0,0,0,0,0,0,0
Тында,35574.0,0,0,0,0,0,0
Тырныауз,21000.0,0,0,0,0,0,0
Тюкалинск,11276.0,0,0,0,0,0,0
Тюмень,581758.0,1,0,1,0,0,0
Уварово,26829.0,0,0,0,0,0,0
Углегорск,10382.0,0,0,0,0,0,0
Углич,34505.0,0,0,0,0,0,0
Удачный,12611.0,0,0,0,0,0,0
Удомля,31048.0,0,0,0,0,0,0
Ужур,16079.0,0,0,0,0,0,0
Узловая,55282.0,0,0,0,0,0,1
Улан-Удэ,404357.0,1,0,0,1,0,0
Ульяновск,613793.0,1,0,1,0,0,0
Унеча,26196.0,0,0,0,0,0,0
Урай,39435.0,0,0,0,0,0,0
Урень,12306.0,0,0,0,0,0,0
Уржум,10213.0,0,0,0,0,0,0
Урус-Мартан,49071.0,0,0,0,0,0,0
Урюпинск,41594.0,0,0,0,0,0,0
Усинск,41100.0,0,0,0,0,0,0
Усмань,18752.0,0,0,0,0,0,0
Усолье,5694.0,0,0,0,0,0,0
Усолье-Сибирское,83364.0,0,0,0,0,0,1
Уссурийск,157946.0,0,0,0,0,1,0
Усть-Джегута,30602.0,0,0,0,0,0,0
Усть-Илимск,86591.0,0,0,0,0,0,1
Усть-Катав,23586.0,0,0,0,0,0,0
Усть-Кут,45061.0,0,0,0,0,0,0
Усть-Лабинск,43268.0,0,0,0,0,0,0
Устюжна,9478.0,0,0,0,0,0,0
Уфа,1062300.0,1,1,0,0,0,0
Ухта,99642.0,0,0,0,0,0,1
Учалы,37771.0,0,0,0,0,0,0
Уяр,12666.0,0,0,0,0,0,0
Фатеж,5404.0,0,0,0,0,0,0
Фокино,18778.5,0,0,0,0,0,0
Фролово,39489.0,0,0,0,0,0,0
Фрязино,55449.0,0,0,0,0,0,1
Фурманов,36149.0,0,0,0,0,0,0
Хабаровск,577668.0,1,0,1,0,0,0
Хадыженск,21580.0,0,0,0,0,0,0
Ханты-Мансийск,79410.0,1,0,0,0,0,1
Харабали,18209.0,0,0,0,0,0,0
Харовск,10078.0,0,0,0,0,0,0
Хасавюрт,133929.0,0,0,0,0,1,0
Хвалынск,13094.0,0,0,0,0,0,0
Хилок,11530.0,0,0,0,0,0,0
Химки,207125.0,0,0,0,1,0,0
Холм,3830.0,0,0,0,0,0,0
Холмск,30936.0,0,0,0,0,0,0
Хотьково,21612.0,0,0,0,0,0,0
Цивильск,13478.0,0,0,0,0,0,0
Цимлянск,15029.0,0,0,0,0,0,0
Чадан,9037.0,0,0,0,0,0,0
Чайковский,82933.0,0,0,0,0,0,1
Чапаевск,72689.0,0,0,0,0,0,1
Чаплыгин,12656.0,0,0,0,0,0,0
Чебаркуль,43405.0,0,0,0,0,0,0
Чебоксары,453645.0,1,0,0,1,0,0
Чегем,17988.0,0,0,0,0,0,0
Чекалин,994.0,0,0,0,0,0,0
Челябинск,1130273.0,1,1,0,0,0,0
Чердынь,4920.0,0,0,0,0,0,0
Черемхово,52650.0,0,0,0,0,0,1
Черепаново,19803.0,0,0,0,0,0,0
Череповец,312311.0,0,0,0,1,0,0
Черкесск,121439.0,1,0,0,0,1,0
Черноголовка,20986.0,0,0,0,0,0,0
Черногорск,72117.0,0,0,0,0,0,1
Чернушка,33275.0,0,0,0,0,0,0
Черняховск,40464.0,0,0,0,0,0,0
Чехов,60677.0,0,0,0,0,0,1
Чистополь,60703.0,0,0,0,0,0,1
Чита,323964.0,1,0,0,1,0,0
Чкаловск,12371.0,0,0,0,0,0,0
Чудово,15401.0,0,0,0,0,0,0
Чулым,11568.0,0,0,0,0,0,0
Чусовой,46740.0,0,0,0,0,0,0
Чухлома,5209.0,0,0,0,0,0,0
Чёрмоз,3861.0,0,0,0,0,0,0
Шагонар,10958.0,0,0,0,0,0,0
Шадринск,77744.0,0,0,0,0,0,1
Шали,47715.0,0,0,0,0,0,0
Шарыпово,38570.0,0,0,0,0,0,0
Шарья,23668.0,0,0,0,0,0,0
Шатура,32836.0,0,0,0,0,0,0
Шахты,240152.0,0,0,0,0,1,0
Шахтёрск,8382.0,0,0,0,0,0,0
Шахунья,20926.0,0,0,0,0,0,0
Шацк,6562.0,0,0,0,0,0,0
Шебекино,44277.0,0,0,0,0,0,0
Шелехов,47960.0,0,0,0,0,0,0
Шенкурск,5702.0,0,0,0,0,0,0
Шилка,13947.0,0,0,0,0,0,0
Шимановск,19815.0,0,0,0,0,0,0
Шиханы,6067.0,0,0,0,0,0,0
Шлиссельбург,13305.0,0,0,0,0,0,0
Шумерля,31724.0,0,0,0,0,0,0
Шумиха,17821.0,0,0,0,0,0,0
Шуя,58528.0,0,0,0,0,0,1
Щербинка,32836.0,0,0,0,0,0,0
Щигры,17043.0,0,0,0,0,0,0
Щучье,10971.0,0,0,0,0,0,0
Щёкино,58154.0,0,0,0,0,0,1
Щёлково,110380.0,0,0,0,0,1,0
Электрогорск,22120.0,0,0,0,0,0,0
Электросталь,155324.0,0,0,0,0,1,0
Электроугли,20120.0,0,0,0,0,0,0
Элиста,103728.0,1,0,0,0,1,0
Энгельс,202401.0,0,0,0,0,1,0
Эртиль,11387.0,0,0,0,0,0,0
Юбилейный,33221.0,0,0,0,0,0,0
Югорск,34066.0,0,0,0,0,0,0
Южа,14170.0,0,0,0,0,0,0
Южно-Сахалинск,181727.0,1,0,0,0,1,0
Южно-Сухокумск,10048.0,0,0,0,0,0,0
Южноуральск,37890.0,0,0,0,0,0,0
Юрга,81536.0,0,0,0,0,0,1
Юрьев-Польский,19588.0,0,0,0,0,0,0
Юрьевец,10205.0,0,0,0,0,0,0
Юрюзань,12568.0,0,0,0,0,0,0
Юхнов,7056.0,0,0,0,0,0,0
Ядрин,9614.0,0,0,0,0,0,0
Якутск,269486.0,1,0,0,1,0,0
Ялуторовск,36494.0,0,0,0,0,0,0
Янаул,26988.0,0,0,0,0,0,0
Яранск,17252.0,0,0,0,0,0,0
Яровое,18605.0,0,0,0,0,0,0
Ярославль,591486.0,1,0,1,0,0,0
Ярцево,47853.0,0,0,0,0,0,0
Ясногорск,16804.0,0,0,0,0,0,0
Ясный,17365.0,0,0,0,0,0,0
Яхрома,13248.0,0,0,0,0,0,0
Байконур,76000.0,1,0,0,0,0,1
